frame.time_delta,frame.time_relative,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,tcp.time_delta,tcp.len,tcp.ack,tcp.connection.fin,tcp.connection.rst,tcp.connection.sack,tcp.connection.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.urg,tcp.hdr_len,tcp.payload,tcp.pdu.size,tcp.window_size_value,tcp.checksum,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.val,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgtype,mqtt.qos,mqtt.retain,mqtt.topic,mqtt.topic_len,mqtt.ver,mqtt.willmsg_len,ip.proto,ip.ttl,class,label
0,0,74,10.16.120.44,10.16.120.72,56808,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x00009a5d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
5.20E-05,5.20E-05,74,10.16.120.72,10.16.120.44,1883,56808,0x00000012,5.20E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x00009941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
8.00E-06,6.00E-05,74,10.16.120.44,10.16.120.72,56810,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x0000bb2e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.20E-05,7.20E-05,74,10.16.120.72,10.16.120.44,1883,56810,0x00000012,1.20E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x00000e6e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
3.00E-06,7.50E-05,74,10.16.120.44,10.16.120.72,56812,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x0000f752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.00E-05,8.50E-05,74,10.16.120.72,10.16.120.44,1883,56812,0x00000012,1.00E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x0000726b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
4.00E-06,8.90E-05,74,10.16.120.44,10.16.120.72,56814,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x00005d1c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
9.00E-06,9.80E-05,74,10.16.120.72,10.16.120.44,1883,56814,0x00000012,9.00E-06,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x00006d56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
0.000192,0.00029,74,10.16.120.44,10.16.120.72,56816,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x00009b6f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.10E-05,0.000301,74,10.16.120.72,10.16.120.44,1883,56816,0x00000012,1.10E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x00009b4f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
4.00E-06,0.000305,74,10.16.120.44,10.16.120.72,56818,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x0000a937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.00E-05,0.000315,74,10.16.120.72,10.16.120.44,1883,56818,0x00000012,1.00E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x0000431e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
3.00E-06,0.000318,74,10.16.120.44,10.16.120.72,56820,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x0000947a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.00E-05,0.000328,74,10.16.120.72,10.16.120.44,1883,56820,0x00000012,1.00E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x00003e96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
3.00E-06,0.000331,74,10.16.120.44,10.16.120.72,56822,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x000014b0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.00E-05,0.000341,74,10.16.120.72,10.16.120.44,1883,56822,0x00000012,1.00E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x00007f80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
0.000154,0.000495,74,10.16.120.44,10.16.120.72,56824,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x0000f363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.10E-05,0.000506,74,10.16.120.72,10.16.120.44,1883,56824,0x00000012,1.10E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x0000f6ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
0.000194,0.0007,66,10.16.120.44,10.16.120.72,56808,1883,0x00000010,0.000648,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x00003848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
3.70E-05,0.000737,66,10.16.120.44,10.16.120.72,56810,1883,0x00000010,0.000665,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x0000ad75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.40E-05,0.000751,66,10.16.120.44,10.16.120.72,56812,1883,0x00000010,0.000666,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x00001173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.30E-05,0.000764,74,10.16.120.44,10.16.120.72,56826,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x0000dfc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.30E-05,0.000777,74,10.16.120.72,10.16.120.44,1883,56826,0x00000012,1.30E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x0000f985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
5.00E-06,0.000782,66,10.16.120.44,10.16.120.72,56814,1883,0x00000010,0.000684,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x00000c5e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
4.70E-05,0.000829,66,10.16.120.44,10.16.120.72,56816,1883,0x00000010,0.000528,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x00003a57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.50E-05,0.000844,66,10.16.120.44,10.16.120.72,56818,1883,0x00000010,0.000529,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x0000e225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.50E-05,0.000859,66,10.16.120.44,10.16.120.72,56820,1883,0x00000010,0.000531,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x0000dd9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.20E-05,0.000871,66,10.16.120.44,10.16.120.72,56822,1883,0x00000010,0.00053,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x00001e88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.40E-05,0.000885,66,10.16.120.44,10.16.120.72,56824,1883,0x00000010,0.000379,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x000095f6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
0.000228,0.001113,66,10.16.120.44,10.16.120.72,56826,1883,0x00000010,0.000336,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x0000988c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
2.10E-05,0.001134,74,10.16.120.44,10.16.120.72,56830,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x0000783a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.80E-05,0.001152,74,10.16.120.72,10.16.120.44,1883,56830,0x00000012,1.80E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x00007cbe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
5.00E-06,0.001157,74,10.16.120.44,10.16.120.72,56828,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x00006285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.00E-05,0.001167,74,10.16.120.72,10.16.120.44,1883,56828,0x00000012,1.00E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x000008a6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
9.70E-05,0.001264,74,10.16.120.44,10.16.120.72,56834,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x0000c256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.40E-05,0.001278,74,10.16.120.72,10.16.120.44,1883,56834,0x00000012,1.40E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x0000daef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
4.00E-06,0.001282,74,10.16.120.44,10.16.120.72,56832,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x00001915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.10E-05,0.001293,74,10.16.120.72,10.16.120.44,1883,56832,0x00000012,1.10E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x0000a969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
4.00E-06,0.001297,74,10.16.120.44,10.16.120.72,56836,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x0000c912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
9.00E-06,0.001306,74,10.16.120.72,10.16.120.44,1883,56836,0x00000012,9.00E-06,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x00000ea2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
4.00E-06,0.00131,74,10.16.120.44,10.16.120.72,56838,1883,0x00000002,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0,0,29200,0x0000239e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.00E-05,0.00132,74,10.16.120.72,10.16.120.44,1883,56838,0x00000012,1.00E-05,0,1,0,0,1,0,1,0,0,0,1,0,40,0,0,28960,0x000030c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
0.000281,0.001601,66,10.16.120.44,10.16.120.72,56830,1883,0x00000010,0.000449,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x00001bc6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
1.70E-05,0.001618,66,10.16.120.44,10.16.120.72,56828,1883,0x00000010,0.000451,0,1,0,0,0,0,1,0,0,0,0,0,32,0,0,229,0x0000a7ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,Attack,1
