frame.time_delta,tcp.time_delta,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,mqtt.hdrflags,mqtt.msgtype,mqtt.qos,mqtt.retain,mqtt.ver,class,label
0.0,0.0,0,0,0,0,0,0,0,0,Attack,1
5.2e-05,5.2e-05,1,0,0,0,0,0,0,0,Attack,1
8e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1.2e-05,1.2e-05,1,0,0,0,0,0,0,0,Attack,1
3e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
9e-06,9e-06,1,0,0,0,0,0,0,0,Attack,1
0.000192,0.0,0,0,0,0,0,0,0,0,Attack,1
1.1e-05,1.1e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
3e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
3e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
0.000154,0.0,0,0,0,0,0,0,0,0,Attack,1
1.1e-05,1.1e-05,1,0,0,0,0,0,0,0,Attack,1
0.000194,0.000648,1,0,0,0,0,0,0,0,Attack,1
3.7e-05,0.000665,1,0,0,0,0,0,0,0,Attack,1
1.4e-05,0.000666,1,0,0,0,0,0,0,0,Attack,1
1.3e-05,0.0,0,0,0,0,0,0,0,0,Attack,1
1.3e-05,1.3e-05,1,0,0,0,0,0,0,0,Attack,1
5e-06,0.000684,1,0,0,0,0,0,0,0,Attack,1
4.7e-05,0.000528,1,0,0,0,0,0,0,0,Attack,1
1.5e-05,0.000529,1,0,0,0,0,0,0,0,Attack,1
1.5e-05,0.000531,1,0,0,0,0,0,0,0,Attack,1
1.2e-05,0.00053,1,0,0,0,0,0,0,0,Attack,1
1.4e-05,0.000379,1,0,0,0,0,0,0,0,Attack,1
0.000228,0.000336,1,0,0,0,0,0,0,0,Attack,1
2.1e-05,0.0,0,0,0,0,0,0,0,0,Attack,1
1.8e-05,1.8e-05,1,0,0,0,0,0,0,0,Attack,1
5e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
9.7e-05,0.0,0,0,0,0,0,0,0,0,Attack,1
1.4e-05,1.4e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1.1e-05,1.1e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
9e-06,9e-06,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
0.000281,0.000449,1,0,0,0,0,0,0,0,Attack,1
1.7e-05,0.000451,1,0,0,0,0,0,0,0,Attack,1
1.4e-05,0.000354,1,0,0,0,0,0,0,0,Attack,1
1.2e-05,0.000351,1,0,0,0,0,0,0,0,Attack,1
1.3e-05,0.000351,1,0,0,0,0,0,0,0,Attack,1
1.4e-05,0.000351,1,0,0,0,0,0,0,0,Attack,1
0.000259,0.0,0,0,0,0,0,0,0,0,Attack,1
1.5e-05,1.5e-05,1,0,0,0,0,0,0,0,Attack,1
0.00027,0.0,0,0,0,0,0,0,0,0,Attack,1
1.4e-05,1.4e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.000288,1,0,0,0,0,0,0,0,Attack,1
1.8e-05,0.0,0,0,0,0,0,0,0,0,Attack,1
1.1e-05,1.1e-05,1,0,0,0,0,0,0,0,Attack,1
0.00024,0.0,0,0,0,0,0,0,0,0,Attack,1
1.5e-05,1.5e-05,1,0,0,0,0,0,0,0,Attack,1
0.000231,0.000519,1,0,0,0,0,0,0,0,Attack,1
2.1e-05,0.000507,1,0,0,0,0,0,0,0,Attack,1
1.4e-05,0.000266,1,0,0,0,0,0,0,0,Attack,1
0.000227,0.0,0,0,0,0,0,0,0,0,Attack,1
1.6e-05,1.6e-05,1,0,0,0,0,0,0,0,Attack,1
5e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1.1e-05,1.1e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
4e-06,0.0,0,0,0,0,0,0,0,0,Attack,1
1e-05,1e-05,1,0,0,0,0,0,0,0,Attack,1
0.000247,0.0,0,0,0,0,0,0,0,0,Attack,1
1.1e-05,1.1e-05,1,0,0,0,0,0,0,0,Attack,1
3e-06,0.000305,1,0,0,0,0,0,0,0,Attack,1
